"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 05 13:29:03 GMT 2021","Mon Apr 05 13:29:03 GMT 2021","0","tests.app","test_dummy","","","","test_fail",""
"passed","Mon Apr 05 13:29:03 GMT 2021","Mon Apr 05 13:29:03 GMT 2021","0","tests.app","test_dummy","","","","test_pass",""
