"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 12 11:04:13 GMT 2021","Mon Apr 12 11:04:13 GMT 2021","66","API","Allowed methods tests","","","","test_methods[file-system_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:26 GMT 2021","Mon Apr 12 11:04:26 GMT 2021","63","API","Allowed methods tests","","","","test_methods[backup_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:41 GMT 2021","Mon Apr 12 11:04:41 GMT 2021","48","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Mon Apr 12 11:04:10 GMT 2021","Mon Apr 12 11:04:10 GMT 2021","51","API","Allowed methods tests","","","","test_methods[cluster_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:34 GMT 2021","Mon Apr 12 11:04:35 GMT 2021","54","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:24 GMT 2021","Mon Apr 12 11:04:24 GMT 2021","46","API","Allowed methods tests","","","","test_methods[backup_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:37 GMT 2021","Mon Apr 12 11:04:37 GMT 2021","64","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:45 GMT 2021","Mon Apr 12 11:04:46 GMT 2021","185","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Mon Apr 12 11:04:48 GMT 2021","Mon Apr 12 11:04:49 GMT 2021","387","API","Body tests","POST","","","test_post_body_negative[backup_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Mon Apr 12 11:04:11 GMT 2021","Mon Apr 12 11:04:11 GMT 2021","43","API","Allowed methods tests","","","","test_methods[cluster_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:39 GMT 2021","Mon Apr 12 11:04:39 GMT 2021","58","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:42 GMT 2021","Mon Apr 12 11:04:42 GMT 2021","210","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Mon Apr 12 11:04:40 GMT 2021","Mon Apr 12 11:04:40 GMT 2021","76","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:18 GMT 2021","Mon Apr 12 11:04:18 GMT 2021","48","API","Allowed methods tests","","","","test_methods[connection_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:20 GMT 2021","Mon Apr 12 11:04:20 GMT 2021","47","API","Allowed methods tests","","","","test_methods[backup_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:15 GMT 2021","Mon Apr 12 11:04:15 GMT 2021","72","API","Allowed methods tests","","","","test_methods[file-system_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:14 GMT 2021","Mon Apr 12 11:04:14 GMT 2021","45","API","Allowed methods tests","","","","test_methods[file-system_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Mon Apr 12 11:04:32 GMT 2021","Mon Apr 12 11:04:32 GMT 2021","57","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:30 GMT 2021","Mon Apr 12 11:04:30 GMT 2021","57","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:32 GMT 2021","Mon Apr 12 11:04:33 GMT 2021","75","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:28 GMT 2021","Mon Apr 12 11:04:28 GMT 2021","80","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Mon Apr 12 11:04:19 GMT 2021","Mon Apr 12 11:04:19 GMT 2021","57","API","Allowed methods tests","","","","test_methods[connection_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
