"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 14 11:20:33 GMT 2021","Wed Apr 14 11:20:33 GMT 2021","0","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"failed","Wed Apr 14 11:20:36 GMT 2021","Wed Apr 14 11:20:36 GMT 2021","0","API","Body tests","POST","","","test_post_body_negative[restore_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"failed","Wed Apr 14 11:20:19 GMT 2021","Wed Apr 14 11:20:19 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:20:05 GMT 2021","Wed Apr 14 11:20:05 GMT 2021","51","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:15 GMT 2021","Wed Apr 14 11:20:15 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:32 GMT 2021","Wed Apr 14 11:20:32 GMT 2021","0","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"failed","Wed Apr 14 11:20:08 GMT 2021","Wed Apr 14 11:20:08 GMT 2021","0","API","Allowed methods tests","","","","test_methods[backup_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:19:50 GMT 2021","Wed Apr 14 11:19:50 GMT 2021","36","API","Allowed methods tests","","","","test_methods[cluster-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:20:03 GMT 2021","Wed Apr 14 11:20:03 GMT 2021","49","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:12 GMT 2021","Wed Apr 14 11:20:12 GMT 2021","0","API","Allowed methods tests","","","","test_methods[restore_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Wed Apr 14 11:20:19 GMT 2021","Wed Apr 14 11:20:19 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:19:56 GMT 2021","Wed Apr 14 11:19:56 GMT 2021","34","API","Allowed methods tests","","","","test_methods[fs-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Wed Apr 14 11:20:22 GMT 2021","Wed Apr 14 11:20:22 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:19:56 GMT 2021","Wed Apr 14 11:19:56 GMT 2021","0","API","Allowed methods tests","","","","test_methods[connection_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Wed Apr 14 11:19:57 GMT 2021","Wed Apr 14 11:19:57 GMT 2021","0","API","Allowed methods tests","","","","test_methods[restore_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Wed Apr 14 11:20:04 GMT 2021","Wed Apr 14 11:20:04 GMT 2021","0","API","Allowed methods tests","","","","test_methods[backup_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:20:30 GMT 2021","Wed Apr 14 11:20:31 GMT 2021","406","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 11:19:56 GMT 2021","Wed Apr 14 11:19:56 GMT 2021","65","API","Allowed methods tests","","","","test_methods[fs-type_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Wed Apr 14 11:20:12 GMT 2021","Wed Apr 14 11:20:12 GMT 2021","51","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:21 GMT 2021","Wed Apr 14 11:20:21 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:08 GMT 2021","Wed Apr 14 11:20:08 GMT 2021","62","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:17 GMT 2021","Wed Apr 14 11:20:17 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:14 GMT 2021","Wed Apr 14 11:20:14 GMT 2021","51","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:20:06 GMT 2021","Wed Apr 14 11:20:06 GMT 2021","49","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:26 GMT 2021","Wed Apr 14 11:20:26 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[restore_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Wed Apr 14 11:20:32 GMT 2021","Wed Apr 14 11:20:33 GMT 2021","50","API","Body tests","POST","","","test_post_body_negative[file-system_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 11:19:50 GMT 2021","Wed Apr 14 11:19:50 GMT 2021","55","API","Allowed methods tests","","","","test_methods[cluster-type_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
