"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 14 15:46:28 GMT 2021","Wed Apr 14 15:46:28 GMT 2021","36","API","Allowed methods tests","","","","test_methods[cluster-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:46 GMT 2021","Wed Apr 14 15:46:46 GMT 2021","40","API","Allowed methods tests","","","","test_methods[restore_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:30 GMT 2021","Wed Apr 14 15:46:30 GMT 2021","56","API","Allowed methods tests","","","","test_methods[file-system_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:43 GMT 2021","Wed Apr 14 15:46:43 GMT 2021","47","API","Allowed methods tests","","","","test_methods[backup_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:26 GMT 2021","Wed Apr 14 15:46:26 GMT 2021","48","API","Allowed methods tests","","","","test_methods[cluster_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:34 GMT 2021","Wed Apr 14 15:46:34 GMT 2021","36","API","Allowed methods tests","","","","test_methods[fs-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:38 GMT 2021","Wed Apr 14 15:46:38 GMT 2021","36","API","Allowed methods tests","","","","test_methods[connection_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:34 GMT 2021","Wed Apr 14 15:46:34 GMT 2021","40","API","Allowed methods tests","","","","test_methods[fs-type_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:33 GMT 2021","Wed Apr 14 15:46:33 GMT 2021","39","API","Allowed methods tests","","","","test_methods[file-system_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:28 GMT 2021","Wed Apr 14 15:46:28 GMT 2021","40","API","Allowed methods tests","","","","test_methods[cluster-type_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:24 GMT 2021","Wed Apr 14 15:46:24 GMT 2021","40","API","Allowed methods tests","","","","test_methods[cluster_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:39 GMT 2021","Wed Apr 14 15:46:39 GMT 2021","43","API","Allowed methods tests","","","","test_methods[connection_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:40 GMT 2021","Wed Apr 14 15:46:40 GMT 2021","37","API","Allowed methods tests","","","","test_methods[backup_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:25 GMT 2021","Wed Apr 14 15:46:25 GMT 2021","51","API","Allowed methods tests","","","","test_methods[cluster_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:36 GMT 2021","Wed Apr 14 15:46:36 GMT 2021","41","API","Allowed methods tests","","","","test_methods[connection_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:43 GMT 2021","Wed Apr 14 15:46:43 GMT 2021","48","API","Allowed methods tests","","","","test_methods[backup_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:50 GMT 2021","Wed Apr 14 15:46:50 GMT 2021","43","API","Allowed methods tests","","","","test_methods[restore_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:47 GMT 2021","Wed Apr 14 15:46:47 GMT 2021","37","API","Allowed methods tests","","","","test_methods[restore_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:32 GMT 2021","Wed Apr 14 15:46:32 GMT 2021","44","API","Allowed methods tests","","","","test_methods[fs-type_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:27 GMT 2021","Wed Apr 14 15:46:27 GMT 2021","52","API","Allowed methods tests","","","","test_methods[cluster-type_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:46:30 GMT 2021","Wed Apr 14 15:46:30 GMT 2021","48","API","Allowed methods tests","","","","test_methods[file-system_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
