"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 13 06:26:22 GMT 2021","Tue Apr 13 06:26:22 GMT 2021","67","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Tue Apr 13 06:26:16 GMT 2021","Tue Apr 13 06:26:16 GMT 2021","0","API","Allowed methods tests","","","","test_methods[backup_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Tue Apr 13 06:26:20 GMT 2021","Tue Apr 13 06:26:20 GMT 2021","56","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Tue Apr 13 06:26:07 GMT 2021","Tue Apr 13 06:26:07 GMT 2021","54","API","Allowed methods tests","","","","test_methods[cluster_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Tue Apr 13 06:26:12 GMT 2021","Tue Apr 13 06:26:12 GMT 2021","0","API","Allowed methods tests","","","","test_methods[backup_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Tue Apr 13 06:26:06 GMT 2021","Tue Apr 13 06:26:06 GMT 2021","0","API","Allowed methods tests","","","","test_methods[file-system_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Tue Apr 13 06:26:12 GMT 2021","Tue Apr 13 06:26:12 GMT 2021","0","API","Allowed methods tests","","","","test_methods[connection_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Tue Apr 13 06:26:16 GMT 2021","Tue Apr 13 06:26:16 GMT 2021","52","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Tue Apr 13 06:26:30 GMT 2021","Tue Apr 13 06:26:30 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Tue Apr 13 06:26:27 GMT 2021","Tue Apr 13 06:26:27 GMT 2021","0","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
