"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 14 15:28:14 GMT 2021","Wed Apr 14 15:28:14 GMT 2021","46","API","Allowed methods tests","","","","test_methods[cluster_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:28:29 GMT 2021","Wed Apr 14 15:28:29 GMT 2021","39","API","Allowed methods tests","","","","test_methods[connection_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:29:08 GMT 2021","Wed Apr 14 15:29:08 GMT 2021","166","API","Body tests","POST","","","test_post_body_negative[restore_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 15:28:28 GMT 2021","Wed Apr 14 15:28:28 GMT 2021","45","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 15:28:51 GMT 2021","Wed Apr 14 15:28:51 GMT 2021","44","API","Body tests","POST","","","test_post_body_positive[restore_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 15:28:22 GMT 2021","Wed Apr 14 15:28:22 GMT 2021","33","API","Allowed methods tests","","","","test_methods[fs-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:28:27 GMT 2021","Wed Apr 14 15:28:27 GMT 2021","40","API","Allowed methods tests","","","","test_methods[connection_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:28:24 GMT 2021","Wed Apr 14 15:28:24 GMT 2021","42","API","Allowed methods tests","","","","test_methods[restore_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:28:55 GMT 2021","Wed Apr 14 15:28:55 GMT 2021","42","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 15:29:04 GMT 2021","Wed Apr 14 15:29:04 GMT 2021","309","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 15:28:12 GMT 2021","Wed Apr 14 15:28:12 GMT 2021","43","API","Allowed methods tests","","","","test_methods[cluster_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 15:28:48 GMT 2021","Wed Apr 14 15:28:48 GMT 2021","44","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
