"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 16 13:21:59 GMT 2021","Fri Apr 16 13:21:59 GMT 2021","54","API","Allowed methods tests","","","","test_methods[connection_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:21:58 GMT 2021","Fri Apr 16 13:21:58 GMT 2021","42","API","Allowed methods tests","","","","test_methods[connection_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:21:52 GMT 2021","Fri Apr 16 13:21:52 GMT 2021","56","API","Allowed methods tests","","","","test_methods[file-system_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"failed","Fri Apr 16 13:22:12 GMT 2021","Fri Apr 16 13:22:13 GMT 2021","62","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_Null values for Nullable=True fields]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:57 GMT 2021","Fri Apr 16 13:22:57 GMT 2021","181","API","Body tests","POST","","","test_post_body_negative[backup_POST_negative_Null values for Nullable=False fields]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:21:44 GMT 2021","Fri Apr 16 13:21:44 GMT 2021","45","API","Allowed methods tests","","","","test_methods[cluster_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:20 GMT 2021","Fri Apr 16 13:22:20 GMT 2021","52","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:25 GMT 2021","Fri Apr 16 13:22:25 GMT 2021","54","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_Only Required=True with valid values]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:21:48 GMT 2021","Fri Apr 16 13:21:48 GMT 2021","49","API","Allowed methods tests","","","","test_methods[cluster-type_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:47 GMT 2021","Fri Apr 16 13:22:47 GMT 2021","167","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:22 GMT 2021","Fri Apr 16 13:22:22 GMT 2021","64","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with valid values]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:21:49 GMT 2021","Fri Apr 16 13:21:49 GMT 2021","48","API","Allowed methods tests","","","","test_methods[cluster-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:18 GMT 2021","Fri Apr 16 13:22:18 GMT 2021","56","API","Allowed methods tests","","","","test_methods[restore_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:46 GMT 2021","Fri Apr 16 13:22:47 GMT 2021","138","API","Body tests","POST","","","test_post_body_negative[file-system_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:20 GMT 2021","Fri Apr 16 13:22:20 GMT 2021","71","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:53 GMT 2021","Fri Apr 16 13:22:54 GMT 2021","179","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Null values for Nullable=False fields]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:49 GMT 2021","Fri Apr 16 13:22:49 GMT 2021","169","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Null values for Nullable=False fields]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:26 GMT 2021","Fri Apr 16 13:22:26 GMT 2021","57","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with valid values]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:04 GMT 2021","Fri Apr 16 13:22:04 GMT 2021","42","API","Allowed methods tests","","","","test_methods[backup_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:54 GMT 2021","Fri Apr 16 13:22:54 GMT 2021","410","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:51 GMT 2021","Fri Apr 16 13:22:51 GMT 2021","378","API","Body tests","POST","","","test_post_body_negative[file-system_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:21:47 GMT 2021","Fri Apr 16 13:21:47 GMT 2021","58","API","Allowed methods tests","","","","test_methods[cluster-type_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:36 GMT 2021","Fri Apr 16 13:22:36 GMT 2021","56","API","Body tests","POST","","","test_post_body_positive[restore_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:17 GMT 2021","Fri Apr 16 13:22:17 GMT 2021","57","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:44 GMT 2021","Fri Apr 16 13:22:44 GMT 2021","410","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:51 GMT 2021","Fri Apr 16 13:22:52 GMT 2021","213","API","Body tests","POST","","","test_post_body_negative[connection_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:15 GMT 2021","Fri Apr 16 13:22:15 GMT 2021","68","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:15 GMT 2021","Fri Apr 16 13:22:15 GMT 2021","56","API","Allowed methods tests","","","","test_methods[restore_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:33 GMT 2021","Fri Apr 16 13:22:33 GMT 2021","58","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:56 GMT 2021","Fri Apr 16 13:22:56 GMT 2021","185","API","Body tests","POST","","","test_post_body_negative[backup_POST_negative_Drop fields with Required=True]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Fri Apr 16 13:22:07 GMT 2021","Fri Apr 16 13:22:07 GMT 2021","72","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:21:51 GMT 2021","Fri Apr 16 13:21:51 GMT 2021","54","API","Allowed methods tests","","","","test_methods[file-system_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:30 GMT 2021","Fri Apr 16 13:22:30 GMT 2021","64","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:22:27 GMT 2021","Fri Apr 16 13:22:27 GMT 2021","53","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"failed","Fri Apr 16 13:22:30 GMT 2021","Fri Apr 16 13:22:30 GMT 2021","65","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_Null values for Nullable=True fields]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Fri Apr 16 13:21:55 GMT 2021","Fri Apr 16 13:21:55 GMT 2021","38","API","Allowed methods tests","","","","test_methods[fs-type_POST_negative]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Fri Apr 16 13:22:42 GMT 2021","Fri Apr 16 13:22:42 GMT 2021","53","API","Body tests","POST","","","test_post_body_positive[restore_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
